,name,year,rating,m_score,runtime,votes,gross
78,Bumblebee,2018.0,6.7,66.0,114.0,159729.0,127195589.0
79,Free Guy,2021.0,7.1,62.0,115.0,337075.0,121626598.0
80,Mamma Mia! Here We Go Again,2018.0,6.6,60.0,114.0,92290.0,120634935.0
81,Ford v Ferrari,2019.0,8.1,81.0,152.0,367116.0,117624028.0
82,The Nun,2018.0,5.3,46.0,96.0,136603.0,117450119.0
83,Creed II,2018.0,7.1,66.0,130.0,121038.0,115715889.0
84,Peter Rabbit,2018.0,6.5,51.0,95.0,42042.0,115253424.0
85,Girls Trip,2017.0,6.2,71.0,122.0,37272.0,115171585.0
86,Dumbo,2019.0,6.3,51.0,112.0,74060.0,114766307.0
87,Fifty Shades Darker,2017.0,4.5,33.0,118.0,100638.0,114376885.0
88,Maleficent: Mistress of Evil,2019.0,6.6,43.0,119.0,101386.0,113929605.0
89,Glass,2019.0,6.6,43.0,129.0,235379.0,111048468.0
90,Godzilla: King of the Monsters,2019.0,6.0,48.0,132.0,176191.0,110500138.0
91,The Upside,2017.0,7.0,46.0,126.0,55346.0,108252517.0
92,Little Women,2019.0,7.8,91.0,135.0,191624.0,108101214.0
93,Baby Driver,2017.0,7.6,86.0,113.0,512614.0,107825862.0
94,The Lego Movie 2: The Second Part,2019.0,6.6,65.0,107.0,64317.0,105806508.0
95,Hustlers,2019.0,6.3,79.0,110.0,96573.0,104963598.0
96,Pitch Perfect 3,2017.0,5.8,40.0,93.0,62972.0,104897530.0
97,Daddy's Home 2,2017.0,6.0,30.0,100.0,71764.0,104029443.0
98,The Mule,2018.0,7.0,58.0,116.0,133048.0,103804407.0
99,Murder on the Orient Express,2017.0,6.5,52.0,114.0,247997.0,102826543.0
100,Annabelle: Creation,2017.0,6.5,62.0,109.0,130001.0,102092201.0
101,The Equalizer 2,2018.0,6.7,50.0,121.0,154664.0,102084362.0
102,Rampage,2018.0,6.1,45.0,107.0,162719.0,101028233.0
103,Godzilla vs. Kong,2021.0,6.3,59.0,113.0,197849.0,100916094.0
104,A Wrinkle in Time,2018.0,4.2,53.0,109.0,44523.0,100478608.0
105,Fifty Shades Freed,2018.0,4.4,31.0,105.0,64242.0,100407760.0
106,Kingsman: The Golden Circle,2017.0,6.7,44.0,141.0,317750.0,100234838.0
107,The Addams Family,2019.0,5.8,46.0,86.0,37596.0,100044905.0
108,Christopher Robin,2018.0,7.2,60.0,104.0,76199.0,99215042.0
109,Downton Abbey,2019.0,7.4,64.0,122.0,52673.0,96854135.0
110,Rocketman,2019.0,7.3,69.0,121.0,169226.0,96368160.0
111,Blade Runner 2049,2017.0,8.0,81.0,164.0,540609.0,92054159.0
112,John Wick: Chapter 2,2017.0,7.4,75.0,122.0,414903.0,92029184.0
113,The Emoji Movie,2017.0,3.3,12.0,86.0,62975.0,86089513.0
114,Alita: Battle Angel,2019.0,7.3,53.0,122.0,259443.0,85710210.0
115,Power Rangers,2017.0,5.9,44.0,124.0,107013.0,85364450.0
116,Green Book,2018.0,8.2,69.0,130.0,464242.0,85080171.0
117,Ferdinand,2017.0,6.7,58.0,108.0,55802.0,84410380.0
118,Birds of Prey,2020.0,6.0,60.0,109.0,228537.0,84158461.0
119,I Can Only Imagine,2018.0,7.3,30.0,110.0,16095.0,83482352.0
120,Smallfoot,2018.0,6.6,60.0,96.0,38834.0,83240103.0
121,The Post,2017.0,7.2,83.0,116.0,148544.0,81903458.0
122,The Mummy,2017.0,5.4,34.0,110.0,184070.0,80101125.0
123,Men in Black: International,2019.0,5.6,38.0,114.0,130652.0,80001807.0
124,Night School,2018.0,5.6,43.0,111.0,40134.0,77339130.0
125,Dolittle,2020.0,5.6,26.0,101.0,62427.0,77047065.0
126,The Hitman's Bodyguard,2017.0,6.9,47.0,118.0,225531.0,75468583.0
127,Alien: Covenant,2017.0,6.4,65.0,122.0,274900.0,74262031.0
128,Annabelle Comes Home,2019.0,5.9,53.0,106.0,72608.0,74152591.0
129,Captain Underpants: The First Epic Movie,2017.0,6.2,69.0,89.0,27976.0,73921000.0
130,Yesterday,2019.0,6.8,55.0,116.0,148389.0,73286650.0
131,A Madea Family Funeral,2019.0,4.5,39.0,109.0,4471.0,73257045.0
132,Zombieland: Double Tap,2019.0,6.7,55.0,99.0,172548.0,73123082.0
133,A Bad Moms Christmas,2017.0,5.5,42.0,104.0,49946.0,72110659.0
134,The Invisible Man,2020.0,7.1,72.0,124.0,216635.0,70410000.0
135,The First Purge,2018.0,5.2,54.0,97.0,62854.0,69488745.0
136,Game Night,2018.0,6.9,66.0,100.0,229388.0,69179066.0
137,Good Boys,2019.0,6.7,,90.0,72591.0,69056735.0
138,Angel Has Fallen,2019.0,6.4,45.0,121.0,94729.0,69030436.0
139,Book Club,2018.0,6.1,53.0,104.0,27906.0,68566296.0
140,The House with a Clock in Its Walls,2018.0,6.0,57.0,105.0,50989.0,68549695.0
141,Skyscraper,2018.0,5.8,51.0,102.0,119959.0,68420120.0
142,Insidious: The Last Key,2018.0,5.7,49.0,103.0,59127.0,67745330.0
143,Instant Family,2018.0,7.3,57.0,118.0,104313.0,67363237.0
144,Spies in Disguise,2019.0,6.8,54.0,102.0,46832.0,66757013.0
145,X-Men: Dark Phoenix,2019.0,5.7,43.0,113.0,180949.0,65845974.0
146,A Dog's Purpose,2017.0,7.2,43.0,100.0,71298.0,64508620.0
147,The Shape of Water,2017.0,7.3,87.0,123.0,409324.0,63859435.0
148,Scary Stories to Tell in the Dark,2019.0,6.2,61.0,108.0,73932.0,62739086.0
149,The Call of the Wild,2020.0,6.7,48.0,100.0,47497.0,62342368.0
150,Terminator: Dark Fate,2019.0,6.2,54.0,128.0,171976.0,62253077.0
151,A Beautiful Day in the Neighborhood,2019.0,7.3,80.0,109.0,77050.0,61704055.0
152,Onward,2020.0,7.4,61.0,102.0,141562.0,61555145.0
153,Abominable,2019.0,7.0,61.0,97.0,37499.0,60716390.0
154,Blockers,2018.0,6.2,69.0,102.0,78526.0,60311495.0
155,Pacific Rim: Uprising,2018.0,5.6,44.0,111.0,115411.0,59874525.0
156,The Lego Ninjago Movie,2017.0,6.0,55.0,101.0,25650.0,59281555.0
157,The Croods: A New Age,2020.0,6.9,56.0,95.0,40523.0,58568815.0
158,Tenet,2020.0,7.3,69.0,150.0,468037.0,58456624.0
159,Tomb Raider,2018.0,6.3,48.0,119.0,210555.0,58250803.0
160,Baywatch,2017.0,5.5,37.0,116.0,182018.0,58060186.0
161,Maze Runner: The Death Cure,2018.0,6.2,50.0,143.0,133807.0,58032443.0
